total_pegs,total_empty,total_holes,num_legal_moves,peg_ratio,mobile_pegs,immobile_pegs,jumpable_pegs,mobility_ratio,num_clusters,largest_cluster,edge_pegs,interior_pegs,avg_adjacent_pegs,avg_adjacent_empty,max_adjacent_empty,center_of_mass_r,center_of_mass_c,spread,min_pegs_reachable,max_pegs_reachable,best_move_r1,best_move_c1,best_move_r2,best_move_c2,worst_move_r1,worst_move_c1,worst_move_r2,worst_move_c2,board_rows,board_cols,board_state
15,1,16,1,0.9375,1,14,1,0.066667,1,15,13,2,2.266667,0.133333,1,2.466667,1.666667,0.730033,5,9,1,1,1,3,1,1,1,3,6,5,000000000000000000000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000100000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000
14,2,16,2,0.875,2,12,2,0.142857,1,14,9,5,2.428571,0.214286,1,2.285714,2.071429,0.64637,1,8,1,2,1,4,1,2,1,4,6,5,000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000
13,3,16,4,0.8125,4,9,4,0.307692,2,12,8,5,2.0,0.692308,1,2.384615,2.230769,0.621063,4,9,2,3,2,1,1,1,1,3,5,5,0000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000001000000000000000000000000000000020000000000000001000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000010000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000
14,2,16,3,0.875,3,11,3,0.214286,1,14,11,3,2.285714,0.357143,1,1.642857,1.857143,0.591512,1,9,0,2,2,2,1,2,1,4,5,5,0000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000100000000000000020000000000000002000000000000000100000000000000020000000000000000000000000000000200000000000000020000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000
15,1,16,1,0.9375,1,14,1,0.066667,1,15,10,5,2.666667,0.066667,1,2.4,2.266667,0.634763,3,12,3,2,3,0,3,2,3,0,6,5,000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000
15,2,17,4,0.882353,2,13,4,0.133333,3,13,11,4,2.0,0.533333,1,2.066667,1.666667,0.619119,5,11,1,3,3,3,1,3,3,3,5,5,0000000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000100000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000100000000000000020000000000000000000000000000000200000000000000000000000000000002000000000000000000000000000000
14,3,17,5,0.823529,5,9,5,0.357143,3,8,13,1,2.0,0.642857,2,2.214286,1.714286,0.651953,2,9,0,2,2,2,0,2,2,2,6,4,000000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000001000000000000000200000000000000020000000000000001000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000100000000000000020000000000000002000000000000000000000000000000
15,2,17,3,0.882353,3,12,3,0.2,1,15,11,4,2.666667,0.2,1,1.733333,2.266667,0.730819,2,11,1,2,1,0,1,2,1,0,4,6,000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000001000000000000000000000000000000
14,3,17,3,0.823529,3,11,3,0.214286,2,13,10,4,2.142857,0.571429,2,1.785714,1.5,0.574015,2,10,0,1,2,1,4,1,2,1,5,5,0200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000001000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000001000000000000000200000000000000020000000000000000000000000000000000000000000000
14,3,17,4,0.823529,4,10,4,0.285714,1,14,10,4,2.142857,0.714286,2,1.428571,2.0,0.533211,3,9,0,1,2,1,0,1,2,1,4,5,01000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000100000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000
17,1,18,1,0.944444,1,16,1,0.058824,1,17,13,4,2.470588,0.176471,1,1.647059,2.470588,0.811589,3,12,2,2,2,0,2,2,2,0,5,6,000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000
